publication_date,date,variable,N
2021-01-26,2020-04-20,Number of cases,143
2021-01-26,2020-04-20,Number of tests,1844
2021-01-26,2020-04-20,Number of deaths,19
2021-01-26,2020-04-21,Number of cases,112
2021-01-26,2020-04-21,Number of tests,3620
2021-01-26,2020-04-21,Number of deaths,4
2021-01-26,2020-04-22,Number of cases,124
2021-01-26,2020-04-22,Number of tests,4202
2021-01-26,2020-04-22,Number of deaths,8
2021-01-26,2020-04-23,Number of cases,116
2021-01-26,2020-04-23,Number of tests,3664
2021-01-26,2020-04-23,Number of deaths,0
2021-01-26,2020-04-24,Number of cases,92
2021-01-26,2020-04-24,Number of tests,4280
2021-01-26,2020-04-24,Number of deaths,3
2021-01-26,2020-04-25,Number of cases,76
2021-01-26,2020-04-25,Number of tests,3141
2021-01-26,2020-04-25,Number of deaths,6
2021-01-26,2020-04-26,Number of cases,73
2021-01-26,2020-04-26,Number of tests,2485
2021-01-26,2020-04-26,Number of deaths,5
2021-01-26,2020-04-27,Number of cases,123
2021-01-26,2020-04-27,Number of tests,2440
2021-01-26,2020-04-27,Number of deaths,1
2021-01-26,2020-04-28,Number of cases,139
2021-01-26,2020-04-28,Number of tests,3788
2021-01-26,2020-04-28,Number of deaths,2
2021-01-26,2020-04-29,Number of cases,108
2021-01-26,2020-04-29,Number of tests,4450
2021-01-26,2020-04-29,Number of deaths,1
2021-01-26,2020-04-30,Number of cases,86
2021-01-26,2020-04-30,Number of tests,4179
2021-01-26,2020-04-30,Number of deaths,4
2021-01-26,2020-05-01,Number of cases,48
2021-01-26,2020-05-01,Number of tests,3375
2021-01-26,2020-05-01,Number of deaths,2
2021-01-26,2020-05-02,Number of cases,58
2021-01-26,2020-05-02,Number of tests,1483
2021-01-26,2020-05-02,Number of deaths,4
2021-01-26,2020-05-03,Number of cases,61
2021-01-26,2020-05-03,Number of tests,1649
2021-01-26,2020-05-03,Number of deaths,3
2021-01-26,2020-05-04,Number of cases,133
2021-01-26,2020-05-04,Number of tests,1767
2021-01-26,2020-05-04,Number of deaths,8
2021-01-26,2020-05-05,Number of cases,125
2021-01-26,2020-05-05,Number of tests,3771
2021-01-26,2020-05-05,Number of deaths,4
2021-01-26,2020-05-06,Number of cases,95
