publication_date,date,N_dead
2021-01-27,2020-08-01,11
2021-01-27,2020-08-02,10
2021-01-27,2020-08-03,15
2021-01-27,2020-08-04,14
2021-01-27,2020-08-05,6
2021-01-27,2020-08-06,9
2021-01-27,2020-08-07,13
2021-01-27,2020-08-08,14
2021-01-27,2020-08-09,8
2021-01-27,2020-08-10,13
2021-01-27,2020-08-11,10
2021-01-27,2020-08-12,7
2021-01-27,2020-08-13,9
2021-01-27,2020-08-14,7
2021-01-27,2020-08-15,12
2021-01-27,2020-08-16,4
2021-01-27,2020-08-17,12
2021-01-27,2020-08-18,9
2021-01-27,2020-08-19,3
2021-01-27,2020-08-20,8
2021-01-27,2020-08-21,7
2021-01-27,2020-08-22,8
2021-01-27,2020-08-23,14
2021-01-27,2020-08-24,6
2021-01-27,2020-08-25,12
2021-01-27,2020-08-26,11
2021-01-27,2020-08-27,8
2021-01-27,2020-08-28,10
2021-01-27,2020-08-29,5
2021-01-27,2020-08-30,6
2021-01-27,2020-08-31,9
2021-01-27,2020-09-01,3
2021-01-27,2020-09-02,9
2021-01-27,2020-09-03,10
2021-01-27,2020-09-04,7
2021-01-27,2020-09-05,13
2021-01-27,2020-09-06,8
2021-01-27,2020-09-07,15
2021-01-27,2020-09-08,9
2021-01-27,2020-09-09,9
2021-01-27,2020-09-10,13
2021-01-27,2020-09-11,13
2021-01-27,2020-09-12,18
2021-01-27,2020-09-13,16
2021-01-27,2020-09-14,21
2021-01-27,2020-09-15,18
2021-01-27,2020-09-16,26
2021-01-27,2020-09-17,27
2021-01-27,2020-09-18,23
2021-01-27,2020-09-19,20
2021-01-27,2020-09-20,31
2021-01-27,2020-09-21,27
2021-01-27,2020-09-22,39
2021-01-27,2020-09-23,56
2021-01-27,2020-09-24,35
2021-01-27,2020-09-25,32
2021-01-27,2020-09-26,39
2021-01-27,2020-09-27,47
2021-01-27,2020-09-28,54
2021-01-27,2020-09-29,48
2021-01-27,2020-09-30,57
2021-01-27,2020-10-01,66
2021-01-27,2020-10-02,68
2021-01-27,2020-10-03,66
2021-01-27,2020-10-04,60
2021-01-27,2020-10-05,70
2021-01-27,2020-10-06,69
2021-01-27,2020-10-07,102
2021-01-27,2020-10-08,92
2021-01-27,2020-10-09,79
2021-01-27,2020-10-10,103
2021-01-27,2020-10-11,122
2021-01-27,2020-10-12,112
2021-01-27,2020-10-13,109
2021-01-27,2020-10-14,116
2021-01-27,2020-10-15,151
2021-01-27,2020-10-16,147
2021-01-27,2020-10-17,176
2021-01-27,2020-10-18,159
2021-01-27,2020-10-19,191
2021-01-27,2020-10-20,194
2021-01-27,2020-10-21,222
2021-01-27,2020-10-22,234
2021-01-27,2020-10-23,222
2021-01-27,2020-10-24,213
2021-01-27,2020-10-25,247
2021-01-27,2020-10-26,277
2021-01-27,2020-10-27,266
2021-01-27,2020-10-28,283
2021-01-27,2020-10-29,310
2021-01-27,2020-10-30,338
2021-01-27,2020-10-31,319
2021-01-27,2020-11-01,358
2021-01-27,2020-11-02,330
2021-01-27,2020-11-03,360
2021-01-27,2020-11-04,329
2021-01-27,2020-11-05,375
2021-01-27,2020-11-06,401
2021-01-27,2020-11-07,389
2021-01-27,2020-11-08,414
2021-01-27,2020-11-09,480
2021-01-27,2020-11-10,387
2021-01-27,2020-11-11,387
2021-01-27,2020-11-12,419
2021-01-27,2020-11-13,433
2021-01-27,2020-11-14,427
2021-01-27,2020-11-15,451
2021-01-27,2020-11-16,425
2021-01-27,2020-11-17,439
2021-01-27,2020-11-18,487
2021-01-27,2020-11-19,462
2021-01-27,2020-11-20,451
2021-01-27,2020-11-21,462
2021-01-27,2020-11-22,475
2021-01-27,2020-11-23,461
2021-01-27,2020-11-24,457
2021-01-27,2020-11-25,482
2021-01-27,2020-11-26,431
2021-01-27,2020-11-27,421
2021-01-27,2020-11-28,461
2021-01-27,2020-11-29,460
2021-01-27,2020-11-30,420
2021-01-27,2020-12-01,402
2021-01-27,2020-12-02,386
2021-01-27,2020-12-03,470
2021-01-27,2020-12-04,474
2021-01-27,2020-12-05,393
2021-01-27,2020-12-06,416
2021-01-27,2020-12-07,419
2021-01-27,2020-12-08,434
2021-01-27,2020-12-09,430
2021-01-27,2020-12-10,440
2021-01-27,2020-12-11,453
2021-01-27,2020-12-12,436
2021-01-27,2020-12-13,419
2021-01-27,2020-12-14,479
2021-01-27,2020-12-15,456
2021-01-27,2020-12-16,433
2021-01-27,2020-12-17,532
2021-01-27,2020-12-18,512
